Assay Definition

Assay Description:
1L FLiBe BABY Experiment standard count, beginning with run FLB-1
Assay Type: DPM (Single)
Report Name: Standard report
Output Data Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260119_1830\Replay_20260123_181319
Raw Results Path: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260119_1830\20260119_1830.results
Comma-Delimited File Name: C:\Packard\Tricarb\Results\Default\NEW_Flibe_Long\20260119_1830\Replay_20260123_181319\RE_1L-FLB_IV_1-11-4_1-12_THRU_1-24_1-25-1_-2_-3.csv
Assay File Name: C:\Packard\TriCarb\Assays\NEW_Flibe_Long.lsa

Additional Data Files Generated with this Protocol:
Standard report
		[Excel]	RE_1L-FLB_IV_1-11-4_1-12_THRU_1-24_1-25-1_-2_-3.csv


Count Conditions

Nuclide: LIBRA UG LLT NM      
   Quench Indicator: tSIE
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM-C
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 1        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.5      5.0
B              0.5     10.0
C              0.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


Missing vial 1.
Missing vial 2.
Missing vial 3.
Missing vial 4.
Missing vial 5.
Missing vial 6.
Missing vial 7.
Missing vial 8.
Missing vial 9.
Missing vial 10.
S#,SMPL_ID,Bq:1,CPMA,A:2S%,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
35,1L-FLB-IV_1-16-3,0.263,3.920,10.15,0,288.57,24.84,100,15.781
36,1L-FLB-IV_1-16-4,0.265,3.960,10.10,0,289.00,24.88,100,15.918
Missing vial 37.
38,1L-FLB-IV_1-17-1,0.319,4.900,9.07,0,297.48,25.60,100,19.137
39,1L-FLB-IV_1-17-2,0.258,3.850,10.25,0,288.48,24.83,100,15.504
40,1L-FLB-IV_1-17-3,0.344,5.100,8.89,0,287.08,24.71,100,20.640
41,1L-FLB-IV_1-17-4,0.275,4.100,9.97,0,289.06,24.88,100,16.478
Missing vial 42.
43,1L-FLB-IV_1-18-1,0.313,4.860,9.15,0,300.25,25.84,100,18.807
44,1L-FLB-IV_1-18-2,0.274,4.070,9.96,0,287.52,24.75,100,16.446
45,1L-FLB-IV_1-18-3,0.364,5.400,8.64,0,286.95,24.70,100,21.864
46,1L-FLB-IV_1-18-4,0.303,4.520,9.49,0,288.87,24.87,100,18.178
Missing vial 47.
48,1L-FLB-IV_1-19-1,0.312,5.130,8.86,0,319.79,27.36,100,18.750
49,1L-FLB-IV_1-19-2,0.256,3.800,10.37,0,287.02,24.70,100,15.382
50,1L-FLB-IV_1-19-3,33.735,500.290,0.89,0,287.16,24.72,100,*****
51,1L-FLB-IV_1-19-4,1.814,26.860,3.86,0,286.66,24.67,100,108.868
Missing vial 52.
53,1L-FLB-IV_1-20-1,0.317,4.950,9.06,0,302.84,26.06,100,18.992
54,1L-FLB-IV_1-20-2,0.268,4.000,10.05,0,289.30,24.90,100,16.063
55,1L-FLB-IV_1-20-3,6.735,100.110,2.00,0,287.82,24.77,100,404.081
56,1L-FLB-IV_1-20-4,0.778,11.620,5.88,0,289.24,24.90,100,46.672
Missing vial 57.
58,1L-FLB-IV_1-21-1,0.336,5.270,8.75,0,303.70,26.14,100,20.162
59,1L-FLB-IV_1-21-2,0.281,4.220,9.83,0,291.00,25.05,100,16.847
60,1L-FLB-IV_1-21-3,2.390,35.740,3.35,0,289.59,24.93,100,143.377
61,1L-FLB-IV_1-21-4,0.404,6.050,8.16,0,290.14,24.97,100,24.224
Missing vial 62.
63,1L-FLB-IV_1-22-1,0.359,5.610,8.50,0,302.51,26.04,100,21.547
64,1L-FLB-IV_1-22-2,0.270,4.080,10.00,0,292.60,25.19,100,16.200
65,1L-FLB-IV_1-22-3,1.224,18.240,4.69,0,288.60,24.84,100,73.422
66,1L-FLB-IV_1-22-4,0.303,4.540,9.43,0,289.66,24.93,100,18.208
Missing vial 67.
68,1L-FLB-IV_1-23-1,0.481,4.860,9.63,1,208.53,16.83,100,28.872
69,1L-FLB-IV_1-23-2,0.275,4.110,9.91,0,289.50,24.92,100,16.493
70,1L-FLB-IV_1-23-3,0.836,12.560,5.66,0,291.07,25.05,100,50.131
71,1L-FLB-IV_1-23-4,0.296,4.450,9.57,0,291.37,25.08,100,17.743
Missing vial 72.
73,1L-FLB-IV_1-24-1,0.330,4.910,9.26,0,287.75,24.77,100,19.824
74,1L-FLB-IV_1-24-2,0.271,4.090,9.94,0,292.72,25.20,100,16.233
75,1L-FLB-IV_1-24-3,0.591,8.910,6.72,0,292.16,25.15,100,35.430
76,1L-FLB-IV_1-24-4,0.305,4.580,9.39,0,290.68,25.02,100,18.305
Missing vial 77.
78,1L-FLB-IV_1-25-1,0.507,9.200,6.63,0,371.18,30.25,100,30.409
79,1L-FLB-IV_1-25-2,0.321,4.800,9.17,0,289.71,24.94,100,19.248
80,1L-FLB-IV_1-25-3,0.724,10.860,6.08,0,290.52,25.01,100,43.428
81,FAIL,0.327,4.909,12.28,0,291.04,25.05,55,19.594
